symbol,symbolName,weightedAlpha,lastPrice,priceChange,percentChange,highPrice1y,lowPrice1y,percentChange1y,tradeTime,symbolCode,symbolType,hasOptions,raw
"AAPL","Apple Inc","+17.37","170.77","+0.48","+0.28%","198.23","124.17","+9.65%","10/31/23","STK","1","Yes","[object Object]"
"AMGN","Amgen Inc","-1.89","255.70","-7.49","-2.85%","296.67","211.71","-6.61%","10/31/23","STK","1","Yes","[object Object]"
"AXP","American Express Company","-5.53","146.03","+2.76","+1.93%","182.15","138.77","-2.93%","10/31/23","STK","1","Yes","[object Object]"
"BA","Boeing Company","+4.62","186.82","+4.47","+2.45%","243.10","139.52","+29.88%","10/31/23","STK","1","Yes","[object Object]"
"CAT","Caterpillar Inc","-6.25","226.05","-16.11","-6.65%","293.88","204.04","+3.06%","10/31/23","STK","1","Yes","[object Object]"
"CRM","Salesforce Inc","+33.57","200.83","+1.56","+0.78%","238.22","126.34","+23.19%","10/31/23","STK","1","Yes","[object Object]"
"CSCO","Cisco Systems Inc","+13.50","52.13","+0.56","+1.09%","58.19","43.39","+14.22%","10/31/23","STK","1","Yes","[object Object]"
"CVX","Chevron Corp","-21.79","145.73","-0.36","-0.25%","189.68","143.96","-19.03%","10/31/23","STK","1","Yes","[object Object]"
"DIS","Walt Disney Company","-19.15","81.59","+0.91","+1.13%","118.18","78.73","-22.99%","10/31/23","STK","1","Yes","[object Object]"
"DOW","Dow Inc","-7.24","48.34","unch","unch","60.88","45.97","+1.81%","10/31/23","STK","1","Yes","[object Object]"
"GS","Goldman Sachs Group","-16.63","303.61","+2.78","+0.92%","389.58","289.36","-11.18%","10/31/23","STK","1","Yes","[object Object]"
"HD","Home Depot","-4.95","284.69","+3.21","+1.14%","347.25","274.26","-4.67%","10/31/23","STK","1","Yes","[object Object]"
"HON","Honeywell International Inc","-12.67","183.26","+3.51","+1.95%","220.96","174.88","-10.57%","10/31/23","STK","1","Yes","[object Object]"
"IBM","International Business Machines","+7.78","144.64","+2.01","+1.41%","153.21","120.55","+4.43%","10/31/23","STK","1","Yes","[object Object]"
"INTC","Intel Corp","+31.07","36.50","+0.81","+2.27%","40.07","24.73","+25.56%","10/31/23","STK","1","Yes","[object Object]"
"JNJ","Johnson & Johnson","-15.43","148.34","+1.31","+0.89%","181.04","144.95","-15.17%","10/31/23","STK","1","Yes","[object Object]"
"JPM","JP Morgan Chase & Company","+3.28","139.06","+1.64","+1.19%","159.38","123.11","+10.30%","10/31/23","STK","1","Yes","[object Object]"
"KO","Coca-Cola Company","-7.55","56.49","+0.34","+0.61%","64.99","51.55","-7.03%","10/31/23","STK","1","Yes","[object Object]"
"MCD","McDonald's Corp","-6.98","262.17","+2.02","+0.78%","299.35","245.73","-4.50%","10/31/23","STK","1","Yes","[object Object]"
"MMM","3M Company","-27.40","90.95","+1.43","+1.60%","133.91","85.35","-28.16%","10/31/23","STK","1","Yes","[object Object]"
"MRK","Merck & Company","-1.53","102.70","+0.02","+0.02%","119.65","96.36","+1.92%","10/31/23","STK","1","Yes","[object Object]"
"MSFT","Microsoft Corp","+46.53","338.11","+0.80","+0.24%","366.78","213.43","+43.35%","10/31/23","STK","1","Yes","[object Object]"
"NKE","Nike Inc","-0.20","102.77","+0.97","+0.95%","131.31","88.66","+9.53%","10/31/23","STK","1","Yes","[object Object]"
"PG","Procter & Gamble Company","+8.41","150.03","+0.77","+0.52%","158.38","130.96","+10.95%","10/31/23","STK","1","Yes","[object Object]"
"TRV","The Travelers Companies Inc","-8.38","167.44","+1.93","+1.17%","194.51","157.33","-7.98%","10/31/23","STK","1","Yes","[object Object]"
"UNH","Unitedhealth Group Inc","+4.93","535.56","+5.57","+1.05%","558.10","445.68","-2.84%","10/31/23","STK","1","Yes","[object Object]"
"V","Visa Inc","+14.96","235.10","+2.02","+0.87%","250.06","193.32","+12.31%","10/31/23","STK","1","Yes","[object Object]"
"VZ","Verizon Communications Inc","-5.66","35.13","+0.51","+1.47%","42.58","30.14","-6.74%","10/31/23","STK","1","Yes","[object Object]"
"WBA","Walgreens Boots Alliance","-47.57","21.08","-0.02","-0.09%","42.29","20.48","-42.37%","10/31/23","STK","1","Yes","[object Object]"
"WMT","Walmart Inc","+16.38","163.41","+0.39","+0.24%","165.85","136.09","+14.67%","10/31/23","STK","1","Yes","[object Object]"